Blue Ban 1,Red Ban 1,Blue Ban 2,Red Ban 2,Blue Ban 3,Red Ban 3,Blue Pick 1,Red Pick 1,Red Pick 2,Blue Pick 2,Blue Pick 3,Red Pick 3,Red Ban 4,Blue Ban 4,Red Ban 5,Blue Ban 5,Red Pick 4,Blue Pick 4,Blue Pick 5,Red Pick 5
Rek'Sai,Sett,Lee Sin,Ornn,Senna,Aphelios,Elise,Olaf,Kalista,Renekton,Lucian,Kennen,Blitzcrank,Syndra,Varus,LeBlanc,Thresh,Braum,Miss Fortune,Zoe
Elise,Kalista,Mordekaiser,Jarvan IV,Thresh,Sett,Trundle,Aphelios,Lee Sin,Miss Fortune,Nautilus,Braum,Wukong,Kassadin,Azir,Rumble,Aatrox,Syndra,Kennen,Sylas
Pantheon,Aphelios,Sett,Kassadin,Elise,Renekton,Varus,Kai'Sa,Olaf,LeBlanc,Aatrox,Lissandra,Nidalee,Ornn,Kindred,Gangplank,Mordekaiser,Leona,Jarvan IV,Thresh
Ornn,Sett,Varus,Senna,Miss Fortune,Aphelios,Kalista,Rek'Sai,Renekton,Elise,Nautilus,LeBlanc,Gangplank,Kai'Sa,Lucian,Xayah,Tristana,Mordekaiser,Pantheon,Rakan
LeBlanc,Renekton,Zoe,Aphelios,Senna,Sett,Kalista,Varus,Jarvan IV,Thresh,Ornn,Azir,Pantheon,Braum,Sylas,Tahm Kench,Alistar,Lee Sin,Vladimir,Maokai
Olaf,Sett,Rumble,Senna,Pantheon,Ornn,Aphelios,Miss Fortune,Elise,Nautilus,Lee Sin,Leona,LeBlanc,Renekton,Irelia,Qiyana,Aatrox,Zoe,Gangplank,Azir
Rakan,Akali,Lucian,Aphelios,Elise,Qiyana,Rumble,Miss Fortune,Rek'Sai,Senna,Braum,Mordekaiser,Gragas,LeBlanc,Gangplank,Zoe,Leona,Nocturne,Aatrox,Sylas
Elise,Renekton,Senna,Aphelios,Sett,Thresh,Miss Fortune,Rumble,Jarvan IV,Nautilus,Kassadin,Varus,Lee Sin,Qiyana,Olaf,Pantheon,Braum,Trundle,Aatrox,Kalista
Olaf,Akali,Miss Fortune,Lucian,Qiyana,Elise,Aphelios,Rumble,Jarvan IV,Nautilus,Rek'Sai,Senna,Aatrox,Tahm Kench,Ornn,Mordekaiser,Thresh,Renekton,Ryze,Cassiopeia
LeBlanc,Aphelios,Renekton,Olaf,Varus,Senna,Sett,Sejuani,Irelia,Trundle,Lissandra,Mordekaiser,Thresh,Nautilus,Braum,Leona,Kalista,Kai'Sa,Taric,Rakan
Lucian,LeBlanc,Syndra,Renekton,Vayne,Taric,Kalista,Aphelios,Sett,Ornn,Rek'Sai,Braum,Rakan,Irelia,Thresh,Olaf,Trundle,Bard,Azir,Zilean
Pantheon,Akali,Qiyana,Lucian,Varus,Rumble,Aphelios,Nautilus,Ornn,Braum,Jarvan IV,LeBlanc,Mordekaiser,Miss Fortune,Irelia,Lee Sin,Kindred,Cassiopeia,Aatrox,Caitlyn
Jarvan IV,Aphelios,Rumble,Senna,Pantheon,Elise,Kalista,Renekton,Taric,Rakan,Aatrox,Varus,Zoe,Gragas,Azir,Sett,Rek'Sai,Olaf,Neeko,Diana
Jarvan IV,Kalista,Wukong,Olaf,Kassadin,Aphelios,Varus,Miss Fortune,LeBlanc,Elise,Sett,Lee Sin,Qiyana,Nautilus,Galio,Mordekaiser,Renekton,Tahm Kench,Sylas,Braum
Pantheon,Azir,Thresh,Aphelios,Sett,Kalista,Trundle,Jarvan IV,Varus,Miss Fortune,Taric,Galio,Cassiopeia,Wukong,LeBlanc,Ornn,Renekton,Mordekaiser,Kled,Nautilus
Pantheon,Akali,Elise,Aphelios,Lucian,Orianna,Qiyana,Miss Fortune,Jarvan IV,Varus,Braum,Rumble,Gragas,Rakan,Renekton,Leona,Nautilus,Ekko,Kennen,Irelia
LeBlanc,Pantheon,Senna,Sett,Kalista,Rumble,Aphelios,Ezreal,Neeko,Olaf,Zoe,Trundle,Yuumi,Quinn,Renekton,Sylas,Lucian,Ornn,Thresh,Tahm Kench
Wukong,Aatrox,Zoe,Elise,Mordekaiser,Aphelios,Renekton,Miss Fortune,Jarvan IV,Varus,Thresh,Nautilus,Nidalee,Ornn,Sejuani,Sett,Maokai,LeBlanc,Rek'Sai,Lissandra
Thresh,Aphelios,Wukong,Kalista,Sett,Renekton,Varus,Senna,Tahm Kench,Jarvan IV,Yuumi,Rek'Sai,Rumble,LeBlanc,Vladimir,Zoe,Ornn,Mordekaiser,Syndra,Azir
Sett,Yuumi,Ornn,Olaf,Pantheon,Elise,Aphelios,Senna,Tahm Kench,Rek'Sai,Nautilus,Azir,Zoe,Qiyana,LeBlanc,Jarvan IV,Poppy,Aatrox,Viktor,Malphite
Thresh,Zoe,Jarvan IV,Renekton,Olaf,Aphelios,Kalista,Varus,Rumble,Taric,Sett,Ornn,LeBlanc,Rek'Sai,Elise,Trundle,Lee Sin,Azir,Sylas,Janna
LeBlanc,Sett,Senna,Aphelios,Aatrox,Olaf,Ornn,Miss Fortune,Jarvan IV,Kalista,Lee Sin,Rumble,Zoe,Mordekaiser,Taric,Leona,Gangplank,Nautilus,Corki,Braum
Elise,Kalista,Sett,Senna,LeBlanc,Varus,Aphelios,Syndra,Ornn,Trundle,Wukong,Kindred,Braum,Thresh,Nautilus,Kassadin,Yuumi,Bard,Azir,Ezreal
Elise,Sylas,Sett,Aphelios,Pantheon,Senna,Kalista,Ornn,Miss Fortune,Olaf,Rumble,Trundle,Braum,LeBlanc,Varus,Nautilus,Leona,Ezreal,Yuumi,Zoe
Senna,Irelia,Elise,Sejuani,Yuumi,Trundle,Kalista,Thresh,Olaf,Lee Sin,Taric,Aphelios,Renekton,Mordekaiser,Wukong,Zoe,Aatrox,Ornn,Azir,LeBlanc
Elise,Kalista,Mordekaiser,Jarvan IV,Thresh,Kennen,Trundle,Aphelios,Lee Sin,Kai'Sa,Sett,Leona,Wukong,Galio,Azir,Kassadin,Aatrox,Syndra,Jayce,Rumble
LeBlanc,Pantheon,Senna,Sett,Kalista,Elise,Aphelios,Varus,Jarvan IV,Olaf,Rumble,Thresh,Nautilus,Sylas,Leona,Quinn,Syndra,Renekton,Blitzcrank,Kennen
Jarvan IV,Senna,Sett,Kalista,Renekton,Aphelios,Varus,Kai'Sa,Nautilus,Elise,Lucian,Mordekaiser,Syndra,Olaf,Zoe,LeBlanc,Trundle,Leona,Neeko,Azir
Sejuani,Sett,Renekton,Olaf,Zoe,Aphelios,Senna,Varus,Rek'Sai,Elise,Pantheon,Azir,Tahm Kench,Braum,Aatrox,Thresh,Mordekaiser,Gangplank,Diana,Nautilus
Sejuani,Sett,Zoe,Elise,Renekton,Aphelios,Jarvan IV,Varus,Rek'Sai,Senna,Nautilus,Azir,Rumble,Tahm Kench,Gangplank,Thresh,Mordekaiser,Ornn,Kassadin,Braum
Renekton,Aphelios,Thresh,Senna,Rumble,Zoe,Sett,Varus,Jarvan IV,Kai'Sa,Aatrox,Ornn,Elise,Kassadin,Gragas,Morgana,Bard,Azir,Trundle,Corki
Senna,Thresh,Azir,Kalista,Braum,Aphelios,Miss Fortune,Varus,Sett,Ornn,Nautilus,Tahm Kench,Jarvan IV,LeBlanc,Elise,Zoe,Syndra,Pantheon,Ekko,Vladimir
Miss Fortune,Senna,Renekton,Elise,Sett,Aphelios,Kalista,Varus,Thresh,Zoe,Jarvan IV,Sejuani,Blitzcrank,Irelia,Mordekaiser,Aatrox,Kassadin,Nautilus,Maokai,Ornn
Kalista,Syndra,Jarvan IV,Senna,Thresh,Aphelios,Varus,Kai'Sa,Sett,Renekton,Bard,Ornn,Elise,Sylas,Lee Sin,Irelia,Trundle,Gragas,Jayce,Azir
Senna,Kalista,Elise,Aphelios,Maokai,Lucian,Sett,Varus,Nautilus,Ezreal,Tahm Kench,Ornn,Jarvan IV,LeBlanc,Rek'Sai,Lee Sin,Olaf,Trundle,Orianna,Yuumi
Pantheon,Aphelios,Kalista,Zoe,Olaf,Renekton,Sett,Aatrox,Thresh,Jarvan IV,Miss Fortune,Varus,LeBlanc,Diana,Azir,Lee Sin,Rumble,Nautilus,Corki,Gragas
Gragas,Akali,Braum,Renekton,Senna,Miss Fortune,Elise,Varus,Lee Sin,Nautilus,Aphelios,Tahm Kench,Qiyana,Rumble,Gangplank,Mordekaiser,Ornn,Pantheon,Vladimir,Viktor
Ornn,Sett,Elise,Aphelios,Varus,Senna,Renekton,Miss Fortune,Nautilus,Ekko,Pantheon,Zoe,Thresh,Lee Sin,Leona,Olaf,Rek'Sai,Kalista,Taric,Aatrox
Rumble,Zoe,Renekton,Aphelios,Varus,Senna,Kalista,Sett,Kai'Sa,Nautilus,Lee Sin,Elise,LeBlanc,Kled,Syndra,Pantheon,Leona,Aatrox,Sylas,Fiora
Jarvan IV,Senna,Thresh,Taric,Varus,Aphelios,Olaf,Sett,Miss Fortune,Kalista,Renekton,Trundle,Neeko,Azir,Nautilus,Leona,Ornn,Braum,Kassadin,Rumble
Jarvan IV,Aphelios,Pantheon,Kalista,Thresh,Lucian,Sett,Braum,Varus,Senna,Tahm Kench,Olaf,Nidalee,Rumble,Trundle,Wukong,Ornn,Azir,Aatrox,Corki
Kassadin,Aphelios,Lee Sin,Ornn,Jarvan IV,Elise,Varus,Wukong,Trundle,Kindred,Braum,LeBlanc,Syndra,Miss Fortune,Lissandra,Kalista,Ezreal,Maokai,Galio,Tahm Kench
Irelia,Aphelios,Varus,Senna,Renekton,Sett,Kalista,Miss Fortune,Jarvan IV,Wukong,Lee Sin,Nautilus,Thresh,Mordekaiser,Taric,Rumble,Malphite,LeBlanc,Alistar,Galio
Yuumi,Pantheon,Olaf,Aphelios,Varus,Senna,Ornn,Sett,Miss Fortune,Zoe,Kalista,Lee Sin,Jarvan IV,LeBlanc,Camille,Azir,Diana,Braum,Rek'Sai,Leona
LeBlanc,Aphelios,Senna,Pantheon,Elise,Sett,Renekton,Varus,Aatrox,Nautilus,Kai'Sa,Leona,Zoe,Olaf,Taliyah,Qiyana,Rek'Sai,Cassiopeia,Gragas,Kassadin
Elise,Sett,Senna,Aphelios,Olaf,Rek'Sai,Miss Fortune,Ornn,Jarvan IV,Sejuani,Sylas,Azir,Fiora,Varus,Rumble,Kalista,Jhin,Qiyana,Nautilus,Tahm Kench
Zoe,Aphelios,Jarvan IV,Olaf,Taric,Kalista,Varus,Miss Fortune,Lee Sin,Tahm Kench,Wukong,LeBlanc,Kassadin,Mordekaiser,Qiyana,Nautilus,Bard,Sylas,Sejuani,Maokai
LeBlanc,Aphelios,Rek'Sai,Elise,Kalista,Renekton,Jarvan IV,Varus,Thresh,Miss Fortune,Wukong,Lee Sin,Nautilus,Kassadin,Blitzcrank,Jax,Azir,Leona,Zoe,Malphite
Elise,Akali,Qiyana,Jarvan IV,Pantheon,Rumble,Aphelios,Miss Fortune,Gragas,Olaf,Mordekaiser,Gangplank,Ryze,Renekton,LeBlanc,Nocturne,Nautilus,Leona,Taliyah,Lucian
Thresh,LeBlanc,Olaf,Renekton,Senna,Taric,Sett,Aphelios,Elise,Kalista,Nidalee,Wukong,Lucian,Leona,Jayce,Galio,Zoe,Azir,Nautilus,Alistar
Thresh,Aphelios,Elise,Kalista,Zoe,Varus,Miss Fortune,Xayah,Aatrox,Leona,Mordekaiser,Rakan,Kassadin,Olaf,Renekton,Galio,LeBlanc,Lee Sin,Lissandra,Rek'Sai
Elise,Sylas,Olaf,Sett,Varus,Senna,Aphelios,Miss Fortune,Sejuani,Lee Sin,Mordekaiser,Renekton,Braum,Zoe,LeBlanc,Thresh,Nautilus,Leona,Syndra,Ekko
Lee Sin,Olaf,LeBlanc,Sett,Renekton,Karma,Aphelios,Senna,Zoe,Sejuani,Irelia,Tahm Kench,Nautilus,Trundle,Yuumi,Jarvan IV,Elise,Thresh,Mordekaiser,Gangplank
Elise,Sett,Olaf,Zoe,Senna,Aphelios,Renekton,Miss Fortune,Nautilus,Varus,Braum,Aatrox,Lee Sin,Sejuani,Jarvan IV,Gragas,Rek'Sai,Nocturne,Rumble,Sylas
Jarvan IV,Zoe,Thresh,Renekton,Sett,Syndra,Trundle,Aphelios,Taric,Ezreal,Yuumi,Wukong,Jax,LeBlanc,Mordekaiser,Kassadin,Olaf,Corki,Maokai,Azir
Olaf,Aphelios,Elise,Jarvan IV,Varus,Senna,Sett,Miss Fortune,Renekton,Draven,Gragas,Sejuani,Morgana,Kassadin,Azir,Sylas,Nautilus,Leona,Galio,Corki
Jarvan IV,Elise,Kindred,Senna,Trundle,Irelia,Olaf,Kalista,Sett,Aphelios,Ornn,Taric,Braum,LeBlanc,Zoe,Gragas,Sejuani,Rakan,Azir,Kassadin
Rumble,Akali,Elise,Aphelios,Qiyana,Zoe,Olaf,Miss Fortune,Renekton,Braum,Lucian,Taliyah,LeBlanc,Pantheon,Mordekaiser,Irelia,Leona,Kennen,Ryze,Cassiopeia
Mordekaiser,Senna,Ornn,Sett,Elise,Olaf,Aphelios,Gragas,Miss Fortune,Renekton,Nautilus,Thresh,Ekko,Kennen,Nidalee,Yasuo,Pantheon,Cassiopeia,Lee Sin,Gnar
Sett,Senna,Thresh,Aphelios,Elise,Sejuani,Renekton,Jarvan IV,Varus,Kalista,Taric,Rumble,Azir,Ornn,Zoe,Braum,Mordekaiser,Olaf,Sylas,Nautilus
Senna,Kalista,Elise,Sett,Irelia,Aphelios,Varus,Miss Fortune,Thresh,Lucian,Braum,Maokai,Syndra,Lee Sin,Olaf,LeBlanc,Gragas,Nidalee,Rumble,Qiyana
Olaf,Aphelios,Kalista,Sett,Miss Fortune,Fiora,Varus,Senna,Aatrox,Elise,Renekton,Sejuani,Yuumi,Tahm Kench,Bard,Taric,Maokai,Thresh,Camille,LeBlanc
Ornn,Olaf,Lucian,Sett,Senna,Sylas,Renekton,Zoe,Elise,Kalista,Thresh,Braum,Jarvan IV,Aphelios,Gragas,Miss Fortune,Varus,Lee Sin,LeBlanc,Poppy
Kindred,Aphelios,Renekton,Kalista,Senna,Pantheon,Varus,Sett,Syndra,Wukong,Thresh,Elise,Olaf,Irelia,Sejuani,Leona,Blitzcrank,Jarvan IV,Rumble,Lucian
Orianna,Aphelios,Elise,Qiyana,Lucian,Pantheon,Akali,Miss Fortune,Rumble,Varus,Leona,Rakan,Ryze,Jarvan IV,Irelia,Gangplank,Rek'Sai,Lee Sin,LeBlanc,Kennen
LeBlanc,Renekton,Azir,Sett,Zoe,Aphelios,Aatrox,Jarvan IV,Maokai,Ekko,Pantheon,Miss Fortune,Varus,Corki,Kalista,Syndra,Rumble,Kai'Sa,Nautilus,Leona
Olaf,Aphelios,LeBlanc,Elise,Kalista,Sett,Varus,Miss Fortune,Nautilus,Braum,Sylas,Aatrox,Fiora,Sejuani,Lee Sin,Gragas,Ekko,Renekton,Rek'Sai,Ornn
Senna,Ornn,Renekton,Aphelios,Olaf,Sett,Elise,Miss Fortune,Lee Sin,Mordekaiser,Varus,Aatrox,Pantheon,Cassiopeia,Irelia,Zilean,Nautilus,Thresh,Qiyana,Lissandra
Jarvan IV,Kalista,Sejuani,Aphelios,Miss Fortune,Sett,Varus,Xayah,Rakan,Braum,Nidalee,Renekton,Ornn,Elise,Lucian,Gragas,Lee Sin,Jayce,Rumble,Zoe
Irelia,Sylas,Zoe,Sett,Olaf,Aphelios,Renekton,Elise,Varus,Ekko,Miss Fortune,Mordekaiser,Qiyana,Thresh,Lucian,Morgana,Pantheon,Azir,Leona,Nautilus
Kalista,Aphelios,LeBlanc,Renekton,Sett,Jarvan IV,Rumble,Varus,Neeko,Miss Fortune,Nautilus,Trundle,Ornn,Thresh,Elise,Vayne,Braum,Lee Sin,Mordekaiser,Aatrox
Jarvan IV,Olaf,Sett,Kalista,Kassadin,Aphelios,Varus,Wukong,Miss Fortune,LeBlanc,Tahm Kench,Galio,Renekton,Nautilus,Rek'Sai,Lee Sin,Taric,Ornn,Trundle,Gragas
Rek'Sai,Olaf,Sejuani,Sett,Ornn,Renekton,Aphelios,Miss Fortune,Jarvan IV,Thresh,Azir,Nautilus,Lee Sin,Rumble,Trundle,LeBlanc,Zoe,Aatrox,Gragas,Fiora
Elise,Renekton,Senna,Kassadin,Sett,Thresh,Aphelios,Nautilus,Pantheon,Leona,Aatrox,Kai'Sa,Olaf,Sylas,Jarvan IV,LeBlanc,Zoe,Twisted Fate,Sejuani,Mordekaiser
Qiyana,Akali,Gragas,Aphelios,Elise,Pantheon,Miss Fortune,Rumble,Varus,Jarvan IV,Leona,Braum,Ryze,Mordekaiser,Orianna,Ornn,Lee Sin,Aatrox,Zoe,Renekton
Pantheon,Aphelios,Nautilus,Akali,Rumble,Lucian,Qiyana,Miss Fortune,Mordekaiser,Varus,Braum,Jarvan IV,Gragas,Ryze,Aatrox,Gangplank,Leona,Ornn,Orianna,Diana
Azir,Pantheon,Zoe,Thresh,Aphelios,Kalista,Varus,Trundle,Taric,Kindred,Rumble,Miss Fortune,Sett,LeBlanc,Braum,Sylas,Cassiopeia,Ornn,Leona,Mordekaiser
Jarvan IV,Sett,Olaf,Aphelios,Zoe,Varus,Senna,Miss Fortune,Ornn,Tahm Kench,Aatrox,Blitzcrank,Gragas,Lee Sin,Sylas,Azir,Pantheon,Elise,Kled,Taliyah
Olaf,Sett,Ornn,Senna,Rek'Sai,Aphelios,Elise,Miss Fortune,Jarvan IV,Caitlyn,LeBlanc,Lissandra,Morgana,Maokai,Thresh,Nautilus,Leona,Tahm Kench,Renekton,Quinn
Senna,Renekton,Mordekaiser,Miss Fortune,Olaf,Aatrox,Aphelios,Sett,Kalista,Jarvan IV,Thresh,Nautilus,Ornn,Elise,Maokai,Kassadin,Lee Sin,Zoe,Kennen,Lissandra
Wukong,Senna,Jarvan IV,Lucian,Trundle,Graves,Kalista,Aphelios,Aatrox,Taric,Syndra,Elise,Olaf,Bard,Lee Sin,LeBlanc,Braum,Sejuani,Jayce,Zoe
Jarvan IV,Zoe,Sejuani,LeBlanc,Varus,Olaf,Aphelios,Kalista,Taric,Braum,Elise,Sett,Mordekaiser,Kassadin,Ornn,Gragas,Renekton,Wukong,Azir,Akali
Irelia,LeBlanc,Renekton,Sett,Kalista,Aphelios,Varus,Jarvan IV,Miss Fortune,Lee Sin,Rumble,Aatrox,Blitzcrank,Kassadin,Tahm Kench,Zoe,Thresh,Nautilus,Wukong,Sylas
Senna,Irelia,Thresh,Sejuani,Yuumi,Trundle,Kalista,Olaf,Nautilus,Jarvan IV,Taric,Aphelios,Wukong,LeBlanc,Rumble,Mordekaiser,Zoe,Syndra,Ornn,Sylas
Jarvan IV,Renekton,Azir,Pantheon,Thresh,Aphelios,Kalista,Sett,Taric,Wukong,Rumble,Varus,Bard,LeBlanc,Nautilus,Corki,Trundle,Elise,Janna,Kassadin
Rumble,Taric,Renekton,Sett,Elise,Olaf,Kalista,Varus,Jarvan IV,Thresh,Rek'Sai,Braum,Azir,Lissandra,LeBlanc,Diana,Aatrox,Zoe,Mordekaiser,Kassadin
Kassadin,Aphelios,Kalista,Maokai,Jarvan IV,Rek'Sai,Varus,Lee Sin,Syndra,Zoe,Olaf,Miss Fortune,Ornn,Nautilus,Thresh,Wukong,Renekton,Kennen,Braum,Rakan
Elise,Aphelios,Zoe,Senna,Sett,Gragas,Ornn,Miss Fortune,Jarvan IV,Varus,Thresh,Braum,Pantheon,Rumble,LeBlanc,Sylas,Gangplank,Lee Sin,Maokai,Azir
Jarvan IV,Aphelios,Thresh,Taric,Sett,Zoe,Kalista,Renekton,Varus,Nautilus,Aatrox,Leona,Syndra,LeBlanc,Olaf,Trundle,Azir,Elise,Cassiopeia,Rek'Sai
Poppy,Sejuani,Senna,Elise,Yuumi,Thresh,Aphelios,Jarvan IV,Kalista,Rek'Sai,Taric,Ornn,Aatrox,Rumble,Sylas,Lissandra,Leona,LeBlanc,Sett,Kassadin
Renekton,Pantheon,Olaf,Senna,Thresh,Sett,Aphelios,Jarvan IV,Miss Fortune,Braum,Elise,Rumble,LeBlanc,Leona,Zoe,Kennen,Rakan,Azir,Aatrox,Cassiopeia
Sett,Senna,Renekton,Wukong,Trundle,Lee Sin,Kalista,Aphelios,Ornn,Taric,Maokai,Braum,Jarvan IV,Kassadin,Irelia,Olaf,Azir,Corki,Kindred,Graves
Renekton,Jarvan IV,Rumble,Sejuani,Kassadin,Aphelios,Senna,Kalista,Sett,Azir,Tahm Kench,Syndra,Rek'Sai,Taric,Wukong,Trundle,Lee Sin,Ornn,Kindred,Vladimir
Senna,Sett,Ornn,Zoe,Azir,Renekton,Kalista,Pantheon,Aphelios,Lee Sin,Orianna,Nautilus,Thresh,Elise,Leona,Gragas,Rumble,Aatrox,Neeko,Mordekaiser
Cassiopeia,Sett,Senna,Renekton,Olaf,Pantheon,Aphelios,Miss Fortune,Lee Sin,Elise,Aatrox,Camille,Nocturne,Zilean,Leona,Lissandra,Nautilus,Thresh,Diana,Azir
Lee Sin,Kalista,Sett,Rumble,Varus,Lucian,Senna,Jarvan IV,Aphelios,Nidalee,Neeko,Nautilus,Tahm Kench,LeBlanc,Taric,Syndra,Maokai,Braum,Aatrox,Kassadin
Jarvan IV,Aphelios,Sett,Kalista,Rumble,Neeko,Varus,Elise,Renekton,Olaf,Thresh,Pantheon,Quinn,Tahm Kench,Orianna,Miss Fortune,Syndra,Aatrox,Lissandra,Blitzcrank
Lee Sin,Sett,Ornn,Renekton,Senna,Aphelios,Kalista,Varus,Aatrox,Thresh,Zoe,Tahm Kench,Olaf,Pantheon,Fiora,Rumble,Jarvan IV,Sejuani,Irelia,Kassadin
Jarvan IV,Akali,Rumble,Aphelios,Olaf,Elise,Miss Fortune,Renekton,Qiyana,Taliyah,Pantheon,Senna,Quinn,Gragas,Mordekaiser,Braum,Tahm Kench,Thresh,Ornn,Ryze
Pantheon,Olaf,Senna,Renekton,Rumble,Thresh,Sett,Aphelios,Elise,Jarvan IV,Miss Fortune,Aatrox,LeBlanc,Braum,,Qiyana,Zoe,Azir,Nautilus,Leona
Thresh,Aphelios,Jarvan IV,Zoe,Elise,Senna,Varus,Sett,Rek'Sai,Renekton,LeBlanc,Lissandra,Olaf,Bard,Sejuani,Kai'Sa,Miss Fortune,Sylas,Tahm Kench,Rakan
Elise,Aphelios,Varus,Sett,Rumble,Renekton,Kalista,Ornn,Miss Fortune,Jarvan IV,Thresh,Blitzcrank,Zoe,Kindred,Cassiopeia,Rek'Sai,Lee Sin,Mordekaiser,LeBlanc,Galio
Zoe,Aphelios,Gangplank,Sett,Mordekaiser,Renekton,LeBlanc,Aatrox,Varus,Sejuani,Irelia,Syndra,Miss Fortune,Trundle,Senna,Olaf,Jarvan IV,Ezreal,Braum,Rakan
Elise,Kalista,Renekton,Lucian,Irelia,Sett,Aphelios,Miss Fortune,Jayce,Jarvan IV,Rumble,Lee Sin,Thresh,LeBlanc,Syndra,Zoe,Leona,Nautilus,Neeko,Corki
Thresh,Azir,Pantheon,Aphelios,Rumble,Kalista,Varus,Wukong,Jarvan IV,Mordekaiser,Trundle,Miss Fortune,Zoe,Diana,LeBlanc,Aurelion Sol,Neeko,Tahm Kench,Sylas,Leona
LeBlanc,Thresh,Syndra,Olaf,Sett,Renekton,Aphelios,Zoe,Kalista,Elise,Irelia,Lee Sin,Ornn,Neeko,Nautilus,Leona,Braum,Aatrox,Rakan,Maokai
Kalista,Jarvan IV,LeBlanc,Rumble,Lee Sin,Wukong,Sett,Renekton,Nautilus,Varus,Braum,Syndra,Quinn,Elise,Rek'Sai,Aphelios,Olaf,Trundle,Zoe,Kassadin
Elise,Syndra,Jarvan IV,Zoe,Kalista,Aphelios,Varus,Miss Fortune,Nautilus,Lee Sin,Braum,Rek'Sai,LeBlanc,Cassiopeia,Renekton,Azir,Wukong,Maokai,Neeko,Zilean
Renekton,Jarvan IV,Rumble,Sejuani,Kassadin,Aphelios,Senna,Varus,Sett,Nautilus,Azir,Braum,Elise,Syndra,Olaf,Corki,Trundle,Wukong,Lee Sin,Sylas
Wukong,Elise,Senna,Sett,Aphelios,Kalista,Varus,Miss Fortune,Jarvan IV,Trundle,Braum,Rumble,Mordekaiser,Bard,Kassadin,Rakan,Taric,Azir,Aatrox,Akali
Jarvan IV,Kalista,Sett,Aphelios,Renekton,Lucian,Varus,Kai'Sa,Elise,Lee Sin,Syndra,Nautilus,Rumble,Azir,Thresh,Ornn,Zoe,Aatrox,Tahm Kench,Jayce
Olaf,Ornn,Varus,Aphelios,LeBlanc,Tahm Kench,Senna,Sett,Miss Fortune,Zoe,Jarvan IV,Gragas,Renekton,Irelia,Kennen,Pantheon,Nautilus,Galio,Mordekaiser,Yasuo
Irelia,Akali,Qiyana,Aphelios,Rumble,Olaf,Miss Fortune,Senna,Tahm Kench,Leona,Ryze,Mordekaiser,Pantheon,Rek'Sai,Renekton,Camille,Lee Sin,Aatrox,Gragas,Zoe
Pantheon,Aphelios,Nautilus,Akali,Rumble,Lucian,Qiyana,Miss Fortune,Jarvan IV,Varus,Braum,Mordekaiser,Elise,Ryze,Gragas,Leona,Thresh,Orianna,Aatrox,Fiora
Senna,Sett,Tahm Kench,Jarvan IV,Aphelios,Kalista,Varus,Sivir,Trundle,Lee Sin,Syndra,Ekko,Kennen,Ornn,Alistar,Gangplank,Taric,Thresh,Aatrox,Irelia
Renekton,Aphelios,Sett,Kalista,Irelia,Neeko,Rumble,Varus,Jarvan IV,Ezreal,Lucian,Maokai,Olaf,LeBlanc,Braum,Azir,Corki,Trundle,Nautilus,Thresh
Sejuani,Zoe,Renekton,Azir,Varus,Thresh,Kalista,Aphelios,Taric,Sett,Wukong,LeBlanc,Lissandra,Mordekaiser,Syndra,Rek'Sai,Olaf,Nidalee,Jayce,Malphite
Olaf,Aphelios,Lee Sin,Senna,Ornn,Sett,Miss Fortune,Jarvan IV,Rumble,Elise,Aatrox,Varus,Leona,Tahm Kench,Pantheon,Braum,Maokai,Nautilus,Azir,Thresh
Olaf,Aphelios,Renekton,Zoe,Varus,LeBlanc,Kalista,Senna,Tahm Kench,Taric,Lee Sin,Sett,Wukong,Elise,Azir,Gragas,Rek'Sai,Mordekaiser,Syndra,Sylas
Olaf,Zoe,Pantheon,Aphelios,Rumble,Renekton,Sett,Aatrox,Nautilus,Sejuani,Kled,Varus,Kai'Sa,Trundle,Senna,Tahm Kench,Sylas,Miss Fortune,Leona,Vladimir
Zoe,Senna,Renekton,Aphelios,Sejuani,Olaf,Varus,Sett,Rek'Sai,Ornn,Jarvan IV,Kai'Sa,Braum,Mordekaiser,Lissandra,Kassadin,Azir,Corki,Thresh,Nautilus
Kalista,Elise,Thresh,Aphelios,Zoe,Senna,Jarvan IV,Sett,Olaf,Varus,Wukong,Kai'Sa,Taric,Renekton,Braum,Ornn,Jax,Nautilus,LeBlanc,Galio
Renekton,Akali,Miss Fortune,Gragas,Aphelios,Elise,Senna,Lucian,Lee Sin,Braum,Rek'Sai,Leona,Zoe,LeBlanc,Kennen,Rumble,Aatrox,Orianna,Mordekaiser,Sylas
Pantheon,Aphelios,Nautilus,Akali,Elise,Lucian,Qiyana,Miss Fortune,Jarvan IV,Braum,Rumble,Ryze,Varus,Gangplank,Xayah,Mordekaiser,Leona,Senna,Aatrox,Ornn
Yuumi,Pantheon,Olaf,Rek'Sai,Varus,Sett,Senna,Aphelios,Lee Sin,Tahm Kench,Ornn,Bard,Jarvan IV,Mordekaiser,Gragas,Sylas,LeBlanc,Camille,Lissandra,Aatrox
Ornn,Rek'Sai,Sett,Elise,Olaf,Aphelios,Senna,Miss Fortune,Jarvan IV,Nautilus,Maokai,Janna,Qiyana,LeBlanc,Sejuani,Zoe,Leona,Azir,Graves,Kassadin
