Blue Ban 1,Red Ban 1,Blue Ban 2,Red Ban 2,Blue Ban 3,Red Ban 3,Blue Pick 1,Red Pick 1,Red Pick 2,Blue Pick 2,Blue Pick 3,Red Pick 3,Red Ban 4,Blue Ban 4,Red Ban 5,Blue Ban 5,Red Pick 4,Blue Pick 4,Blue Pick 5,Red Pick 5
Ziggs,Renekton,Xin Zhao,LeBlanc,Camille,Ryze,Viego,Lee Sin,Aphelios,Varus,Nautilus,Gwen,Kennen,Thresh,Jax,Leona,Sylas,Tahm Kench,Orianna,Alistar
Lucian,Seraphine,Renekton,Hecarim,Jinx,Udyr,Lillia,Nidalee,Sion,Gnar,Viktor,Tristana,Kalista,Rakan,Thresh,Senna,Rell,Kai'Sa,Gragas,Ryze
Akali,Sett,Karma,Lulu,Thresh,Viego,Gwen,Rumble,Gangplank,Xin Zhao,Ezreal,Varus,Sylas,Lucian,Leona,Lee Sin,Nautilus,Braum,LeBlanc,Ryze
Samira,Zoe,Nidalee,Twisted Fate,Kai'Sa,Renekton,Azir,Rell,Udyr,Gragas,Dr. Mundo,Syndra,Ezreal,Tristana,Varus,Xayah,Gnar,Gangplank,Jhin,Lucian
Irelia,Tristana,Ryze,Hecarim,Thresh,Jayce,Udyr,Kai'Sa,Dr. Mundo,Xayah,Orianna,Azir,Renekton,Alistar,Gragas,Rell,Nautilus,Leona,Gnar,Gangplank
Akali,LeBlanc,Camille,Ziggs,Jayce,Varus,Xin Zhao,Gwen,Aphelios,Ezreal,Karma,Thresh,Rakan,Twisted Fate,Kennen,Sylas,Lee Sin,Viego,Braum,Ryze
Aphelios,Zoe,Taliyah,Graves,Renekton,Lucian,Olaf,Kai'Sa,Orianna,Rell,Samira,Rakan,Galio,Aatrox,Gangplank,Jayce,Gnar,Sylas,Syndra,Nidalee
Rumble,Nidalee,Sett,Xin Zhao,Viego,Lee Sin,Varus,Ezreal,Akali,Volibear,Nautilus,Leona,Lucian,Nocturne,LeBlanc,Diana,Olaf,Renekton,Orianna,Gnar
Olaf,Gangplank,Gnar,Pantheon,Kai'Sa,Seraphine,Udyr,Gragas,Azir,Renekton,Orianna,Xayah,Senna,Kindred,Aphelios,Jarvan IV,Dr. Mundo,Miss Fortune,Thresh,Blitzcrank
Zoe,Hecarim,Seraphine,Thresh,Camille,Nidalee,Udyr,Kai'Sa,Rell,Alistar,Renekton,Olaf,Tristana,Gragas,Orianna,Ornn,Gnar,Kalista,Syndra,Sylas
Nidalee,Thresh,Lillia,Renekton,Karthus,Gragas,Kai'Sa,Udyr,Tristana,Olaf,Rell,Alistar,Azir,Irelia,Camille,Viktor,Orianna,Seraphine,Jayce,Gnar
Twisted Fate,Renekton,Pantheon,Kalista,Lillia,Kai'Sa,Taliyah,Camille,Olaf,Gnar,Samira,Vayne,Azir,Galio,Rell,Shen,Alistar,Gragas,Syndra,Akali
Renekton,Lulu,Varus,Rumble,Lucian,Nocturne,Thresh,Sett,Kai'Sa,Udyr,Aphelios,Nautilus,Orianna,Zoe,Sylas,Nidalee,Viego,Wukong,Viktor,Galio
Tahm Kench,Ziggs,Renekton,Sylas,Aphelios,Rumble,Xin Zhao,Viego,Varus,Gwen,Jhin,Olaf,Twisted Fate,LeBlanc,Irelia,Braum,Ryze,Orianna,Alistar,Nautilus
Senna,Lulu,Ezreal,Karma,Rumble,Nocturne,Varus,Sett,Jhin,Renekton,Diana,Viego,Gnar,Zoe,Thresh,Lucian,Sylas,Jayce,Nautilus,Gangplank
Olaf,Nidalee,Yone,Graves,Udyr,Lillia,Rell,Kai'Sa,Renekton,Samira,Gragas,Alistar,Kindred,Taliyah,Hecarim,Orianna,Skarner,Syndra,Trundle,Viktor
Twisted Fate,Olaf,Thresh,Akali,Pantheon,Camille,Renekton,Kai'Sa,Gragas,Taliyah,Xayah,Hecarim,Alistar,Orianna,Rakan,Syndra,Leona,Zoe,Galio,Viktor
Diana,Ziggs,LeBlanc,Viego,Xin Zhao,Lee Sin,Jayce,Ryze,Olaf,Varus,Orianna,Irelia,Trundle,Ashe,Zac,Thresh,Kalista,Leona,Graves,Jarvan IV
Lulu,Renekton,Gangplank,Sett,Karma,Lee Sin,Akali,Rumble,Varus,Viego,Ezreal,Lucian,Leona,Thresh,Xin Zhao,Gwen,Nautilus,Braum,Nocturne,Camille
Lucian,Pantheon,Azir,Taliyah,Akali,Nidalee,Olaf,Kai'Sa,Graves,Aphelios,Thresh,Sett,Syndra,Renekton,Twisted Fate,Orianna,Zoe,Galio,Camille,Gnar
Camille,Renekton,Akali,Udyr,Sett,Lee Sin,Karma,Xin Zhao,Nautilus,Nocturne,Ezreal,Gwen,Jayce,Kai'Sa,Wukong,Lucian,Kalista,Rumble,Viego,LeBlanc
Zoe,Seraphine,Hecarim,Thresh,Galio,Olaf,Tristana,Renekton,Udyr,Lillia,Sett,Kai'Sa,Gnar,Rell,Volibear,Nocturne,Alistar,Gragas,Ornn,Ryze
Renekton,Twisted Fate,Aphelios,Pantheon,Nidalee,Olaf,Udyr,Camille,Kai'Sa,Xayah,Orianna,Sejuani,Gnar,Galio,Thresh,Azir,Leona,Gragas,Alistar,Syndra
Zoe,Orianna,Yone,Kai'Sa,Nidalee,Pantheon,Syndra,Olaf,Jhin,Graves,Samira,Akali,Alistar,Malphite,Galio,Leona,Sett,Ornn,Gragas,Camille
Thresh,Twisted Fate,Kai'Sa,Udyr,Rell,Gragas,Olaf,Graves,Jhin,Renekton,Ryze,Syndra,Sivir,Gangplank,Ashe,Blitzcrank,Sion,Senna,Tahm Kench,Rakan
Senna,Ezreal,Tahm Kench,Thresh,Renekton,Lucian,Lee Sin,Nocturne,Rumble,Gwen,Kalista,Kai'Sa,Sett,Leona,Nautilus,Akali,Alistar,Sejuani,Gragas,Sylas
Olaf,Renekton,Gwen,Ziggs,Viego,Aphelios,Xin Zhao,Akali,Ezreal,Jayce,Varus,Volibear,LeBlanc,Nocturne,Twisted Fate,Leona,Irelia,Sylas,Nautilus,Braum
Ziggs,Thresh,Diana,Xin Zhao,Viego,Gwen,Dr. Mundo,Kalista,Lee Sin,Tristana,Leona,LeBlanc,Twisted Fate,Braum,Lucian,Wukong,Nautilus,Jayce,Syndra,Volibear
Nidalee,Samira,Seraphine,Azir,Olaf,Gnar,Taliyah,Kai'Sa,Rell,Aphelios,Thresh,Udyr,Renekton,Ornn,Camille,Malphite,Syndra,Jayce,Sett,Sion
Renekton,Olaf,Xayah,Seraphine,Udyr,Pantheon,Taliyah,Kai'Sa,Rell,Camille,Alistar,Hecarim,Miss Fortune,Gragas,Orianna,Ryze,Shen,Twisted Fate,Senna,LeBlanc
Syndra,Azir,Thresh,Seraphine,Renekton,Rell,Kai'Sa,Xayah,Udyr,Rakan,Gnar,Jayce,Lillia,Leona,Hecarim,Orianna,Alistar,Viktor,Nidalee,Zoe
Seraphine,Kalista,Rell,Renekton,Lillia,Udyr,Nidalee,Graves,Syndra,Azir,Aphelios,Kai'Sa,Leona,Jayce,Sett,Gangplank,Nautilus,Gnar,Galio,Irelia
Olaf,Graves,Aatrox,Ornn,Renekton,Akali,Samira,Camille,Kai'Sa,Alistar,Jax,Lillia,Pantheon,Galio,Taliyah,Leona,Maokai,Orianna,Hecarim,Viktor
Seraphine,Lucian,Gnar,Lillia,Orianna,Yone,Udyr,Aphelios,Thresh,Renekton,Kai'Sa,Syndra,Twisted Fate,Quinn,Rell,Dr. Mundo,Jayce,Pyke,Malphite,Skarner
Nocturne,Karma,Viego,Akali,Varus,Lee Sin,Renekton,Ezreal,Sett,Aphelios,Thresh,Diana,Lulu,Ornn,Nidalee,Zoe,Leona,Ryze,Xin Zhao,Jayce
Nocturne,Volibear,Diana,Sylas,Xin Zhao,Thresh,Lee Sin,Viego,Akali,LeBlanc,Ezreal,Kai'Sa,Karma,Leona,Rakan,Rell,Nautilus,Braum,Gwen,Sett
Seraphine,Gnar,Rell,Udyr,Thresh,Renekton,Hecarim,Alistar,Graves,Senna,Tahm Kench,Jinx,Zoe,Azir,Jayce,Gragas,Viktor,Orianna,Sion,Aatrox
Pantheon,Tristana,Lillia,Gnar,Thresh,Kai'Sa,Olaf,Renekton,Udyr,Ornn,Xayah,Vayne,Azir,Braum,Zoe,Leona,Alistar,Twisted Fate,Rakan,Orianna
Akali,Gwen,Volibear,Thresh,Ziggs,Nocturne,Lee Sin,Viego,Xin Zhao,Kalista,Sylas,Ezreal,Rakan,Braum,Nautilus,LeBlanc,Leona,Sett,Camille,Kennen
Ziggs,Gnar,Viego,Lucian,Nocturne,Xin Zhao,Renekton,Leona,Gwen,Diana,Varus,Ezreal,Braum,Jayce,Lee Sin,Ryze,Karma,Sett,Rakan,Camille
Olaf,Xin Zhao,Viktor,Renekton,Azir,Viego,Diana,Aphelios,Lee Sin,Lucian,Gnar,Syndra,Tristana,Jayce,Kalista,Leona,Dr. Mundo,Nautilus,Ziggs,Thresh
Olaf,Renekton,Gwen,Ziggs,Ezreal,Aphelios,Viego,Xin Zhao,Akali,Diana,Nocturne,Sylas,Rakan,Kai'Sa,Leona,Alistar,Thresh,Kalista,Nautilus,Ashe
Gnar,Zoe,Lillia,Thresh,Renekton,Gragas,Kai'Sa,Alistar,Hecarim,Udyr,Rakan,Tristana,Nocturne,Lucian,Orianna,Jayce,Twisted Fate,Cho'Gath,Azir,Xayah
Varus,Lucian,Lulu,Karma,Lee Sin,Renekton,Akali,Jinx,Udyr,Nocturne,Ezreal,Tahm Kench,Yuumi,Twisted Fate,Bard,Sylas,Jayce,Soraka,Rumble,Gwen
Thresh,Udyr,Sylas,Renekton,Varus,Gwen,Rumble,Lee Sin,Ezreal,Tristana,Sett,Karma,Nautilus,Akali,Leona,Xin Zhao,Zoe,Samira,Rakan,Wukong
Kalista,Senna,Renekton,Seraphine,Thresh,Graves,Hecarim,Kai'Sa,Udyr,Tristana,Rell,Syndra,Zoe,Irelia,Gnar,Gragas,Sett,Viktor,Sion,Cho'Gath
Ziggs,Sett,Thresh,Varus,Ryze,Diana,Lucian,Aphelios,Renekton,Lillia,Gnar,Nidalee,Ashe,Viego,Kog'Maw,Jayce,Irelia,Kalista,Rakan,Leona
Kai'Sa,Udyr,Alistar,Seraphine,Gnar,Olaf,Renekton,Kalista,Azir,Rell,Tristana,Thresh,Lillia,Hecarim,Orianna,Sion,Skarner,Veigar,Nidalee,Gangplank
Caitlyn,Kalista,Skarner,Twisted Fate,Thresh,Lillia,Hecarim,Kai'Sa,Rell,Alistar,Orianna,Udyr,Aatrox,Seraphine,Vayne,Tristana,Sylas,Xayah,Gnar,Sion
Skarner,Lillia,Caitlyn,Thresh,Twisted Fate,Rell,Hecarim,Kai'Sa,Orianna,Gnar,Alistar,Udyr,Corki,Malphite,Tristana,Sion,Rakan,Xayah,Seraphine,Renekton
Senna,Udyr,Twisted Fate,Seraphine,Jayce,Lillia,Rell,Alistar,Nidalee,Gnar,Orianna,Lucian,Skarner,Renekton,Tristana,Kai'Sa,Wukong,Ezreal,Graves,Sivir
Gwen,Sylas,LeBlanc,Viego,Tahm Kench,Lee Sin,Xin Zhao,Olaf,Thresh,Aphelios,Braum,Draven,Dr. Mundo,Orianna,Sett,Jayce,Renekton,Aatrox,Ryze,Syndra
Renekton,Xin Zhao,Kalista,Viego,Akali,Nocturne,Volibear,Aphelios,Thresh,Varus,Nautilus,Trundle,Gnar,Sylas,Gwen,Dr. Mundo,Sett,LeBlanc,Gangplank,Kassadin
Varus,LeBlanc,Thresh,Draven,Xin Zhao,Viego,Lucian,Ryze,Lee Sin,Diana,Aphelios,Jinx,Camille,Alistar,Gwen,Renekton,Sett,Rakan,Jayce,Nautilus
Thresh,Kalista,Samira,Renekton,Rell,Taliyah,Olaf,Kai'Sa,Azir,Syndra,Aphelios,Seraphine,Sett,Udyr,Leona,Sion,Kindred,Nautilus,Camille,Gragas
Karma,Senna,Lee Sin,Thresh,Ezreal,Lulu,Nocturne,Kai'Sa,Rumble,Varus,Tahm Kench,Renekton,Udyr,Viego,Volibear,Sett,Nautilus,Jayce,Sylas,Ryze
Akali,Viego,Karma,Gwen,Varus,Sett,Lulu,Senna,Xin Zhao,Kog'Maw,Lee Sin,Ziggs,Wukong,Jayce,Olaf,Orianna,Nocturne,Sejuani,Sylas,Ryze
Rell,Udyr,Thresh,Olaf,Azir,Twisted Fate,Orianna,Alistar,Seraphine,Kai'Sa,Gragas,Samira,Gangplank,Renekton,Camille,Malphite,Lillia,Hecarim,Jax,Volibear
Akali,Renekton,Diana,LeBlanc,Viego,Kalista,Lee Sin,Xin Zhao,Thresh,Nocturne,Ryze,Aphelios,Nautilus,Gwen,Varus,Orianna,Sylas,Ezreal,Rakan,Dr. Mundo
Lucian,Viego,Renekton,Diana,Sylas,Xin Zhao,Aphelios,Ziggs,Trundle,Gwen,Thresh,Sett,Jayce,Akali,Nidalee,Irelia,Leona,Ryze,Gnar,Twisted Fate
Lee Sin,Xin Zhao,Karma,Akali,Lucian,Ezreal,Renekton,Sett,Nocturne,Nidalee,Varus,Diana,Thresh,Senna,Tahm Kench,Kalista,Leona,Braum,Gwen,Jhin
Azir,Udyr,Hecarim,Syndra,Rell,Lillia,Seraphine,Thresh,Jinx,Dr. Mundo,Kai'Sa,Graves,Alistar,Sylas,Gnar,Renekton,Orianna,Wukong,Blitzcrank,Gragas
Akali,Nocturne,Diana,Lee Sin,Viego,Renekton,LeBlanc,Xin Zhao,Kalista,Rek'Sai,Thresh,Sylas,Dr. Mundo,Nautilus,Varus,Leona,Rakan,Draven,Sett,Camille
Akali,Lucian,Camille,Nidalee,Taliyah,Pantheon,Graves,Olaf,Kai'Sa,Aphelios,Thresh,Sett,Azir,Twisted Fate,Lulu,Gnar,Aatrox,Gragas,Zoe,Orianna
Akali,Lee Sin,Nocturne,Thresh,Diana,Kalista,Rumble,Ezreal,Xin Zhao,Varus,Renekton,Sylas,Nautilus,Rell,Tahm Kench,Sett,Leona,Braum,Viego,Gwen
Zoe,Syndra,Twisted Fate,Pantheon,Galio,Thresh,Kai'Sa,Orianna,Alistar,Olaf,Renekton,Samira,Sett,Kindred,Gragas,Ornn,Aatrox,Azir,Rakan,Lillia
Twisted Fate,Udyr,Thresh,Lillia,Malphite,Seraphine,Azir,Senna,Tahm Kench,Hecarim,Gnar,Graves,Rell,Sion,Caitlyn,Orianna,Zoe,Ashe,Lulu,Gangplank
Taliyah,Gnar,Pantheon,Aphelios,Alistar,Seraphine,Rell,Gragas,Kalista,Kai'Sa,Olaf,Graves,Orianna,Aatrox,Irelia,Zoe,Syndra,Viktor,Ornn,Sion
Lee Sin,Xin Zhao,Nocturne,Kalista,Viego,Renekton,Akali,Gwen,Lucian,Diana,Gnar,Varus,Kai'Sa,Thresh,Ezreal,Braum,Fiddlesticks,Senna,Sett,Nautilus
Camille,Zoe,Olaf,Taliyah,Pantheon,Gnar,Udyr,Renekton,Kai'Sa,Samira,Gangplank,Gragas,Twisted Fate,Nidalee,Leona,Lillia,Rell,Alistar,Azir,Kassadin
Akali,Shaco,Xin Zhao,Nocturne,Gwen,Viego,Lee Sin,LeBlanc,Volibear,Aphelios,Thresh,Nautilus,Lissandra,Kalista,Dr. Mundo,Renekton,Ziggs,Twisted Fate,Camille,Gnar
Lulu,Renekton,Nocturne,Karma,Akali,Tahm Kench,Lucian,Kindred,Jinx,Varus,Lee Sin,Gwen,Kennen,Thresh,Ryze,Irelia,Leona,Orianna,Braum,Viktor
Volibear,Ziggs,Sylas,Varus,Xin Zhao,Lee Sin,Viego,Aphelios,Akali,Nautilus,LeBlanc,Renekton,Kalista,Thresh,Gwen,Leona,Braum,Jinx,Tahm Kench,Olaf
Akali,Renekton,Zoe,Sylas,Xin Zhao,Gwen,Lee Sin,Camille,Viego,Jax,LeBlanc,Galio,Varus,Thresh,Ashe,Rakan,Kalista,Ziggs,Leona,Nautilus
Akali,Ezreal,Lucian,Xin Zhao,Leona,Varus,Rumble,Kalista,Renekton,Sett,Kai'Sa,Diana,Rakan,Gnar,Gragas,Nocturne,Alistar,Nautilus,Lee Sin,Sylas
Azir,Zoe,Samira,Kai'Sa,Nidalee,Aphelios,Olaf,Orianna,Pantheon,Syndra,Xayah,Leona,Alistar,Ornn,Rell,Gnar,Renekton,Gragas,Sett,Vayne
Gnar,Kai'Sa,Lillia,Gragas,Samira,Taliyah,Olaf,Azir,Senna,Aphelios,Thresh,Graves,Syndra,Seraphine,Zoe,Gangplank,Tahm Kench,Ornn,Orianna,Aatrox
Akali,Samira,Pantheon,Nidalee,Taliyah,Kai'Sa,Graves,Gragas,Jhin,Aphelios,Zoe,Olaf,Thresh,Ornn,Renekton,Kennen,Camille,Alistar,Gnar,Twisted Fate
Camille,Tristana,Graves,Pantheon,Zoe,Taliyah,Olaf,Kai'Sa,Leona,Aphelios,Thresh,Lillia,Gnar,Gangplank,Aatrox,Syndra,Renekton,Ornn,Azir,Akali
Kalista,Thresh,Renekton,Sett,Udyr,Olaf,Rell,Kai'Sa,Nidalee,Graves,Samira,Alistar,Jayce,Syndra,Galio,Camille,Gnar,Cassiopeia,Azir,Zoe
Kalista,Olaf,Lillia,Udyr,Kled,Seraphine,Rell,Tristana,Nidalee,Kai'Sa,Hecarim,Lucian,Shen,Leona,Renekton,Alistar,Nautilus,Syndra,Camille,Irelia
Lucian,Ziggs,Varus,Jayce,Ryze,Diana,Renekton,Aphelios,Viego,Nidalee,Gnar,Gwen,Kalista,Thresh,Jinx,LeBlanc,Sylas,Ashe,Braum,Rakan
Seraphine,Renekton,Gragas,Rell,Lillia,Udyr,Alistar,Kai'Sa,Galio,Samira,Graves,Nidalee,Azir,Sion,Viktor,Orianna,Syndra,Zoe,Gnar,Irelia
Thresh,Kai'Sa,Renekton,Lillia,Gragas,Nidalee,Tristana,Karthus,Rell,Udyr,Alistar,Lucian,Seraphine,Sion,Gnar,Camille,Aatrox,Jayce,Viktor,Zoe
Renekton,Graves,Kalista,Taliyah,Camille,Pantheon,Kai'Sa,Xayah,Lillia,Nidalee,Alistar,Rakan,Yone,Azir,Twisted Fate,Irelia,Syndra,Gnar,Orianna,Quinn
Varus,Karma,Lee Sin,Rumble,Lulu,Thresh,Akali,Viego,Kalista,Xin Zhao,Nocturne,Gragas,Tristana,Lucian,Senna,Renekton,Sett,Ezreal,Braum,Rakan
Viego,Akali,Jayce,Karma,Renekton,Lulu,Sett,Nocturne,Ezreal,Thresh,Aphelios,Diana,Rumble,Nautilus,Volibear,Lucian,Leona,Xin Zhao,LeBlanc,Azir
Kalista,Lillia,Thresh,Hecarim,Renekton,Udyr,Nidalee,Rell,Olaf,Gnar,Alistar,Tristana,Ezreal,Kennen,Kai'Sa,Irelia,Neeko,Syndra,Samira,Orianna
Gragas,Hecarim,Jayce,Renekton,Orianna,Azir,Thresh,Udyr,Alistar,Aphelios,Olaf,Tristana,Gnar,Gangplank,Sion,Twisted Fate,Syndra,Zoe,Ornn,Sett
Renekton,Thresh,Sett,Ezreal,Xin Zhao,Diana,Nocturne,Lucian,Viego,Ryze,Aphelios,Ziggs,Nautilus,Rumble,Braum,Gwen,Leona,Yuumi,Volibear,Zac
Diana,Olaf,Nocturne,Viego,LeBlanc,Jayce,Xin Zhao,Lee Sin,Gwen,Varus,Nautilus,Kalista,Akali,Leona,Lulu,Sett,Taric,Orianna,Dr. Mundo,Sylas
Nidalee,Udyr,Taliyah,Twisted Fate,Renekton,Kai'Sa,Zoe,Orianna,Leona,Aphelios,Thresh,Samira,Olaf,Gnar,Pantheon,Gragas,Graves,Camille,Lillia,Ornn
Orianna,Nidalee,Samira,Zoe,Pantheon,Ornn,Kai'Sa,Jhin,Leona,Galio,Olaf,Graves,Sett,Syndra,Camille,Viktor,Twisted Fate,Gragas,Ryze,Gnar
LeBlanc,Kalista,Varus,Renekton,Lucian,Lee Sin,Trundle,Gnar,Leona,Aphelios,Thresh,Ashe,Syndra,Diana,Azir,Ryze,Orianna,Zoe,Viego,Nidalee
Gragas,Rell,Aatrox,Udyr,Thresh,Gnar,Seraphine,Renekton,Nidalee,Kai'Sa,Graves,Tristana,Galio,Sylas,Ornn,Alistar,Leona,Nautilus,Sion,Azir
Olaf,Seraphine,Renekton,Thresh,Tristana,Rell,Hecarim,Kai'Sa,Udyr,Gnar,Twisted Fate,Sylas,Tahm Kench,Jayce,Vayne,Gangplank,Camille,Xayah,Rakan,Leona
Thresh,Taliyah,Lucian,Pantheon,Sylas,Twisted Fate,Olaf,Lillia,Alistar,Gragas,Senna,Samira,Seraphine,Camille,Renekton,Aatrox,Orianna,Leona,Ekko,Gnar
Thresh,Lee Sin,Renekton,Nocturne,Diana,Xin Zhao,Rumble,Viego,Ezreal,Sett,Lucian,Ryze,Kalista,Camille,Varus,Karma,Leona,Ziggs,Tahm Kench,Volibear
Irelia,Lucian,Varus,Thresh,Xin Zhao,Viego,Ziggs,Gwen,Tristana,Trundle,Orianna,LeBlanc,Lee Sin,Leona,Sett,Volibear,Jarvan IV,Renekton,Alistar,Nautilus
Irelia,Thresh,Gwen,Lucian,Diana,Lulu,Xin Zhao,Viego,Olaf,Jayce,Kalista,Nautilus,Taric,Tristana,Braum,LeBlanc,Varus,Leona,Orianna,Zoe
Zoe,Orianna,Renekton,Udyr,Alistar,Jayce,Thresh,Lillia,Kai'Sa,Hecarim,Aphelios,Tristana,Syndra,Sett,Viktor,Gnar,Sion,Aatrox,Seraphine,Gragas
Varus,Lee Sin,Sett,Thresh,Renekton,Karma,Udyr,Senna,Rumble,Camille,Ryze,Tahm Kench,Ezreal,Gnar,Lulu,Gwen,Kled,Rakan,Jinx,Akali
Kalista,Tristana,Thresh,Rell,Irelia,Kai'Sa,Lillia,Gnar,Senna,Jinx,Azir,Udyr,Camille,Tahm Kench,Jayce,Nautilus,Zoe,Gangplank,Leona,Sett
Thresh,Zoe,Xayah,Pantheon,Twisted Fate,Olaf,Kai'Sa,Renekton,Udyr,Graves,Seraphine,Galio,Ornn,Samira,Gragas,Tristana,Jhin,Rell,Gnar,Alistar
Samira,Taliyah,Aphelios,Olaf,Gnar,Rell,Seraphine,Kai'Sa,Orianna,Graves,Xayah,Pantheon,Ornn,Jayce,Rakan,Udyr,Renekton,Gragas,Alistar,Nautilus
Galio,Renekton,Twisted Fate,Orianna,Thresh,Azir,Tristana,Alistar,Hecarim,Udyr,Zoe,Kai'Sa,Gragas,Aatrox,Rell,Ryze,Gnar,Gangplank,Leona,LeBlanc
Gnar,Lucian,Udyr,Sion,Nidalee,Renekton,Hecarim,Seraphine,Senna,Orianna,Gragas,Tahm Kench,Thresh,Olaf,Varus,Graves,Volibear,Ezreal,Yuumi,Aatrox
Nidalee,Rumble,Xin Zhao,Viego,Renekton,Akali,Lee Sin,Varus,Volibear,Diana,Kai'Sa,Karma,Nautilus,Sylas,Leona,LeBlanc,Zoe,Sett,Rell,Dr. Mundo
Nocturne,Thresh,Renekton,Karma,Varus,Lulu,Lee Sin,Sett,Rumble,Udyr,Ezreal,Kai'Sa,Leona,Nautilus,Lucian,Sylas,Rakan,Alistar,Zoe,Gwen
Taliyah,Akali,Twisted Fate,Syndra,Samira,Alistar,Nidalee,Graves,Leona,Miss Fortune,Galio,Jhin,Kalista,Ornn,Yone,Volibear,Renekton,Orianna,Gnar,Viktor
Trundle,Viego,Lucian,Lee Sin,Kalista,Aphelios,Renekton,Ryze,Xin Zhao,Gwen,Thresh,Varus,Ashe,Nautilus,Irelia,Kennen,Leona,Nidalee,Jinx,Jayce
Gwen,Nocturne,Akali,Xin Zhao,Sett,Gangplank,Viego,Kalista,Diana,Aphelios,Thresh,Nautilus,LeBlanc,Lucian,Gnar,Trundle,Renekton,Dr. Mundo,Sejuani,Ziggs
Twisted Fate,Hecarim,Sylas,Kai'Sa,Varus,Thresh,Udyr,Lillia,Tristana,Aphelios,Alistar,Camille,Renekton,Galio,Gnar,Orianna,Rell,Fiora,Ryze,Zoe
Aphelios,Taliyah,Olaf,Kai'Sa,Pantheon,Rell,Samira,Renekton,Lillia,Nidalee,Gnar,Vayne,Alistar,Irelia,Viktor,Lucian,Yone,Leona,Twisted Fate,Galio
Karma,Lucian,Lulu,Rumble,Akali,Nocturne,Renekton,Gwen,Ezreal,Udyr,Orianna,Lee Sin,Thresh,Gnar,Varus,Leona,Galio,Vayne,Rakan,Yuumi
Sylas,Karma,Akali,Renekton,Lee Sin,Lucian,Rumble,Ezreal,Nocturne,Kalista,Gragas,Diana,Orianna,Braum,Jayce,Viego,Leona,Camille,Xin Zhao,Sett
Thresh,Lulu,Xin Zhao,Karma,Gwen,Akali,Rumble,Lucian,Ezreal,Lee Sin,Kai'Sa,Diana,Wukong,Braum,Leona,Renekton,Nautilus,Nocturne,Galio,Volibear
Lee Sin,Xin Zhao,Renekton,Camille,Diana,Akali,Rumble,Karma,Sett,Viego,Varus,Ezreal,Nautilus,Gwen,Thresh,LeBlanc,Volibear,Gnar,Leona,Sylas
Kalista,Ziggs,Irelia,Renekton,Lissandra,Syndra,Lee Sin,Trundle,Varus,LeBlanc,Ashe,Azir,Jayce,Leona,Braum,Dr. Mundo,Xin Zhao,Tahm Kench,Gnar,Viego
Renekton,Akali,Nocturne,Diana,Kalista,Lee Sin,Viego,LeBlanc,Thresh,Xin Zhao,Leona,Trundle,Ezreal,Dr. Mundo,,Volibear,Aphelios,Ziggs,Camille,Jax
Gragas,Hecarim,Renekton,Udyr,Nocturne,Thresh,Lillia,Alistar,Nidalee,Tristana,Rell,Kai'Sa,Orianna,Twisted Fate,Syndra,Lucian,Jayce,Gnar,Xayah,Ryze
Xin Zhao,Lee Sin,Jinx,Lucian,Akali,Renekton,Rumble,Viego,Nocturne,Sett,Ezreal,Diana,Leona,Varus,Karma,Tahm Kench,Kai'Sa,Braum,Gwen,Rakan
Viego,Nocturne,Xin Zhao,Kalista,Lucian,Gwen,Lee Sin,Aphelios,Thresh,Akali,Dr. Mundo,Sylas,Ziggs,Gnar,Leona,Aatrox,Volibear,Kog'Maw,Lulu,Gangplank
Sylas,Akali,Diana,Nocturne,Sett,Gwen,Viego,Lee Sin,Thresh,Varus,Nautilus,LeBlanc,Lissandra,Aphelios,Orianna,Draven,Kalista,Galio,Jayce,Olaf
Nocturne,Xin Zhao,Volibear,Thresh,Viego,Gwen,Lee Sin,Kalista,Diana,LeBlanc,Draven,Twisted Fate,Jax,Taric,Renekton,Camille,Leona,Dr. Mundo,Alistar,Gnar
Camille,Twisted Fate,Akali,Zoe,Olaf,Pantheon,Kai'Sa,Thresh,Nidalee,Taliyah,Renekton,Aphelios,Alistar,Lucian,Leona,Jayce,Gnar,Sett,Rumble,Orianna
Gnar,Renekton,Varus,Senna,Udyr,Gwen,Rumble,Lee Sin,Kai'Sa,Tristana,Sett,Leona,Alistar,Nocturne,Nautilus,Volibear,Nidalee,Jinx,Thresh,Syndra
Nocturne,Ezreal,Renekton,Lee Sin,Tahm Kench,Karma,Rumble,Akali,Thresh,Kai'Sa,Nautilus,Aphelios,Sett,Xin Zhao,Lucian,Volibear,Viego,Jayce,Zoe,Irelia
Akali,Pantheon,Alistar,Taliyah,Nidalee,Rell,Samira,Zoe,Graves,Olaf,Orianna,Vayne,Camille,Aatrox,Maokai,Sylas,Braum,Seraphine,Ornn,Lulu
Gnar,Seraphine,Lillia,Thresh,Renekton,Hecarim,Udyr,Olaf,Viktor,Alistar,Aatrox,Tristana,Ezreal,Rell,Samira,Rakan,Gragas,Jinx,Azir,Leona
Lee Sin,Xin Zhao,Nocturne,Irelia,Kalista,Viego,Varus,Diana,Aphelios,Tahm Kench,Gangplank,Jayce,Volibear,Thresh,Sejuani,Nautilus,Leona,Trundle,Twisted Fate,Azir
